EID,4way time (us),activity,alias,anqp time (us),ap,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries
1.1.sta00004,0,23,sta00004,0,04:D4:C4:4F:BB:9C,0,2192452,2192452,22814,22814,22623646,235422,36,0,1,0,59.035 s,11442,sta00004,24088,FALSE,NA,192.168.50.1,192.168.50.58,fe80::6f0:21ff:fe68:989f/64,DELETED,,0,0,0,0,04:f0:21:68:98:9f,255.255.255.0,15,802.11an-AC 160,1500,3780619,-102 dBm,wiphy0,FALSE,1.1.010,WIFI-STA,189,32,1000,Complete,62,22623646,0,0,0,0,0,0,0,0,15605,975 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,235422,0,0,0,0,2651,0,5.025678635,1170.2 Mbps,75
1.1.sta00005,0,23,sta00005,0,04:D4:C4:4F:BB:9C,0,1808005,1808005,18206,18206,18656580,187870,36,0,1,0,59.052 s,9007,sta00005,24098,FALSE,NA,192.168.50.1,192.168.50.76,fe80::6f0:21ff:fe72:e39f/64,DELETED,,0,0,0,0,04:f0:21:72:e3:9f,255.255.255.0,15,802.11an-AC 160,1500,3773738,-102 dBm,wiphy0,FALSE,1.1.011,WIFI-STA,157,24,1000,Complete,0,18656580,0,0,0,0,0,0,0,0,13000,468 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,187870,0,0,0,0,2061,0,2.136752129,1170.2 Mbps,45
1.1.sta00006,0,23,sta00006,0,04:D4:C4:4F:BB:9C,0,1477520,1477520,9515,9515,15246530,98188,36,0,1,0,59.017 s,9068,sta00006,36276,FALSE,NA,192.168.50.1,192.168.50.82,fe80::6f0:21ff:fe4f:99f/64,DELETED,,0,0,0,0,04:f0:21:4f:09:9f,255.255.255.0,18,802.11an-AC 160,1500,3780814,-102 dBm,wiphy0,FALSE,1.1.012,WIFI-STA,130,13,1000,Complete,0,15246530,0,0,0,0,0,0,0,0,10767,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,98188,0,0,0,0,1108,0,0.449236304,1040 Mbps,5
1.1.sta00007,0,23,sta00007,0,04:D4:C4:4F:BB:9C,0,1929763,1929763,14786,14786,19913226,152584,36,0,1,0,59.002 s,19055,sta00007,23973,FALSE,NA,192.168.50.1,192.168.50.46,fe80::6f0:21ff:fe28:be9f/64,DELETED,,0,0,0,0,04:f0:21:28:be:9f,255.255.255.0,15,802.11an-AC 160,1500,3797785,-102 dBm,wiphy0,FALSE,1.1.013,WIFI-STA,167,20,1000,Complete,50,19913226,0,0,0,0,0,0,0,0,13835,702 Mbps,0,-35 dBm,ASUSAP,Authorized,21:20.6,0,152584,0,0,0,0,1720,0,7.785753727,1300 Mbps,91
1.1.sta00008,0,23,sta00008,0,04:D4:C4:4F:BB:9C,0,2342167,2342167,15940,15940,24168824,164492,36,0,1,0,58.974 s,19249,sta00008,24000,FALSE,NA,192.168.50.1,192.168.50.91,fe80::6f0:21ff:fe59:ba9f/64,DELETED,,0,0,0,0,04:f0:21:59:ba:9f,255.255.255.0,16,802.11an-AC 160,1500,3816127,-102 dBm,wiphy0,FALSE,1.1.014,WIFI-STA,202,22,1000,Complete,16,24168824,0,0,0,0,0,0,0,0,16731,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,164492,0,0,0,0,1878,0,3.272727251,1170.2 Mbps,47
1.1.sta00009,0,23,sta00009,0,04:D4:C4:4F:BB:9C,0,1125520,1125520,7670,7670,11614250,79152,36,0,1,0,58.942 s,23264,sta00009,40131,FALSE,NA,192.168.50.1,192.168.50.103,fe80::6f0:21ff:fed3:d09f/64,DELETED,,0,0,0,0,04:f0:21:d3:d0:9f,255.255.255.0,18,802.11an-AC 160,1500,3829098,-102 dBm,wiphy0,FALSE,1.1.015,WIFI-STA,101,10,1000,Complete,4,11614250,0,0,0,0,0,0,0,0,8347,975 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,79152,0,0,0,0,888,0,2.212389469,780 Mbps,16
1.1._vrf1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.1.sta00010,0,23,sta00010,0,04:D4:C4:4F:BB:9C,0,9455,9455,474,474,97448,4890,36,0,2,0,12.217 s,12889,sta00010,9565,FALSE,NA,192.168.50.1,192.168.50.104,fe80::6f0:21ff:fe64:b09f/64,DELETED,,0,0,0,0,04:f0:21:64:b0:9f,255.255.255.0,25,802.11an-AC 160,1500,1501419,-102 dBm,wiphy0,FALSE,1.1.017,WIFI-STA,8,0,1000,Complete,0,97448,0,0,0,0,0,0,0,0,690,468 Mbps,0,-33 dBm,ASUSAP,Authorized,21:20.6,0,4890,0,0,0,0,25,0,0,1170.2 Mbps,0
1.1.sta00011,0,23,sta00011,0,04:D4:C4:4F:BB:9C,0,2088991,2088991,13952,13952,21529932,143804,36,0,1,0,58.878 s,22006,sta00011,23858,FALSE,NA,192.168.50.1,192.168.50.229,fe80::6f0:21ff:fe25:609f/64,DELETED,,0,0,0,0,04:f0:21:25:60:9f,255.255.255.0,15,802.11an-AC 160,1500,3851166,-102 dBm,wiphy0,FALSE,1.1.018,WIFI-STA,180,19,1000,Complete,83,21529932,0,0,0,0,0,0,0,0,14921,702 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,143804,0,0,0,0,1644,0,13.85209751,1170 Mbps,168
1.1.sta00012,0,23,sta00012,0,04:D4:C4:4F:BB:9C,0,1453038,1453038,11607,11607,14975564,119636,36,0,1,0,58.844 s,21699,sta00012,23877,FALSE,NA,192.168.50.1,192.168.50.99,fe80::6f0:21ff:feef:569f/64,DELETED,,0,0,0,0,04:f0:21:ef:56:9f,255.255.255.0,15,802.11an-AC 160,1500,3497682,-102 dBm,wiphy0,FALSE,1.1.019,WIFI-STA,127,16,1000,Complete,10,14975564,0,0,0,0,0,0,0,0,10548,877.5 Mbps,0,-34 dBm,ASUSAP,Authorized,21:20.6,0,119636,0,0,0,0,1346,0,4.43490696,1170.2 Mbps,52
